id,category,title,content,duration_min,language
27,hostile,गुस्सा लिखें,गुस्से का कारण लिखें और भविष्य में बेहतर प्रतिक्रिया सोचें।,10,हिन्दी
28,impatient,आभार पॉज़,रुकें और वर्तमान में एक अच्छी चीज़ सोचें।,5,हिन्दी
29,miserable,शावर रिचुअल,गर्म पानी से स्नान करें; कल्पना करें कि दुख पानी के साथ बह रहा है।,15,हिन्दी
30,jealous,स्व-जागरूकता,अपनी ताकत और उपलब्धियाँ लिखें; बिना जजमेंट के भावनाएँ स्वीकारें।,10,हिन्दी
31,possessive,छोड़ने का ध्यान,छोड़ने और दूसरों पर विश्वास रखने का ध्यान करें।,10,हिन्दी
32,mournful,मेमोरी बॉक्स,सहायक यादों/वस्तुओं का बॉक्स बनाएं; प्यार की भावना बढ़ती है।,20,हिन्दी
33,nervous,तैयारी अभ्यास,आगामी घटना के लिए तैयारी करें या सफलता की कल्पना करें।,15,हिन्दी
34,overwhelmed,प्राथमिकता सूची,कामों की सूची बनाएं और एक-एक कर पूरे करें।,10,हिन्दी
35,ominous,वास्तविकता जाँचें,क्या हो रहा है और क्या डर है, दोनों लिखें।,10,हिन्दी
36,pessimistic,सकारात्मकता अभ्यास,आज की दो अच्छी बातें लिखें, चाहे छोटी हों।,5,हिन्दी
37,resentful,छोड़ने की क्रिया,अपनी नाराज़गी एक पत्र में लिखें और उसे नष्ट करें।,15,हिन्दी
38,restless,गतिविधि ब्रेक,उठें, स्ट्रेच करें या थोड़ी देर चलें।,5,हिन्दी
39,solemn,पाठ पढ़ें,कोई कविता या प्रेरणादायक लेख पढ़ें और सोचें।,10,हिन्दी
40,tense,गर्दन/कंधा स्ट्रेच,गर्दन और कंधे को धीरे-धीरे स्ट्रेच करें।,5,हिन्दी
41,uneasy,आरामदायक पेय,कोई हर्बल चाय बनाएं और ध्यानपूर्वक पिएं।,10,हिन्दी
42,unfriendly,दयालुता का कार्य,किसी के लिए एक छोटा सा अच्छा काम करें।,10,हिन्दी
43,unstable,स्थिरता एंकर,जीवन की एक स्थिर चीज़ पहचानें और उस पर ध्यान दें।,5,हिन्दी
44,unsteady,संतुलन अभ्यास,एक पैर पर खड़े रहें और संतुलन बनाए रखें; फिर बदलें।,2,हिन्दी
45,wretched,देखभाल रिचुअल,कंबल में लिपटें और शांत संगीत या मौन में आराम करें।,10,हिन्दी
46,defensive,रुकें और उत्तर दें,रक्षात्मक महसूस हो तो जवाब देने से पहले तीन गहरी सांस लें।,2,हिन्दी
47,nostalgic,फोटो देखें,पुरानी तस्वीरें देखें और यादों में खो जाएँ; फिर वर्तमान में लौटें।,10,हिन्दी
48,perky,डांस ब्रेक,तेज़ संगीत पर नाचें।,5,हिन्दी
49,playful,रचनात्मक खेल,ड्रॉ करें, डूडल बनाएं या छोटा सा गेम खेलें।,10,हिन्दी
50,light-hearted,हँसी चिकित्सा,कोई मज़ेदार वीडियो देखें या मज़ेदार याद याद करें।,10,हिन्दी
51,fun,नई चीज़ आजमाएँ,कोई नया शौक या गतिविधि आजमाएँ।,20,हिन्दी
52,cheerful,खुशी बाँटें,किसी दोस्त को खुश संदेश या मीम भेजें।,5,हिन्दी
53,passionate,प्रोजेक्ट पर ध्यान दें,जिस प्रोजेक्ट में उत्साह है, उस पर समय दें।,15,हिन्दी
54,peaceful,मेडिटेशन सुनें,शांति के लिए छोटा गाइडेड मेडिटेशन सुनें।,10,हिन्दी
55,reflective,जर्नल चिंतन,हाल ही के अनुभव के बारे में लिखें और क्या सीखा।,15,हिन्दी
56,shy,छोटी सामाजिक पहल,नए व्यक्ति से थोड़ी देर बात करें।,5,हिन्दी
57,sentimental,याद साझा करें,कोई पसंदीदा याद किसी दोस्त या परिवार से साझा करें।,10,हिन्दी
58,strange,खुद को जानें,क्या अजीब लग रहा है और क्यों—बिना जजमेंट के लिखें।,10,हिन्दी
59,weird,अलगियत मनाएँ,तीन अनोखी बातें लिखें और उनका जश्न मनाएँ।,5,हिन्दी
60,unknown,शरीर जागरूकता,शरीर को महसूस करें और अपना मूड जानें।,5,हिन्दी
61,unaffected,प्रकृति में टहलें,बाहर जाएँ और वातावरण का आनंद लें।,15,हिन्दी
62,vivacious,समूह गतिविधि,कोई समूह गतिविधि या क्लास जॉइन करें।,30,हिन्दी
63,regretful,माफ करने का अभ्यास,पछतावा लिखें और कहें, "मैं खुद को माफ करती हूँ।",10,हिन्दी
64,guilty,माफ़ी पत्र,माफ़ी का पत्र लिखें, चाहे भेजें या न भेजें।,10,हिन्दी
65,scared,आरामदायक रूटीन,पसंदीदा किताब पढ़ें या कोई परिचित काम करें।,15,हिन्दी
66,sorrowful,कोमल व्यायाम,हल्का योग या स्ट्रेचिंग करें।,15,हिन्दी
67,laid-back,मनोरंजन का समय,बिना दबाव के कोई पसंदीदा मनोरंजन करें।,30,हिन्दी
68,unmotivated,छोटी जीत लिखें,आज की एक उपलब्धि लिखें, चाहे कितनी भी छोटी हो।,5,हिन्दी
69,motivated,विजन योजना,नया लक्ष्य तय करें और उसे हासिल करने के स्टेप लिखें।,20,हिन्दी
70,horrified,सुरक्षित स्थान जाएँ,किसी सुरक्षित जगह जाएँ और धीरे-धीरे गहरी सांस लें।,15,हिन्दी
71,daunted,सकारात्मक मंत्र,मंत्र दोहराएँ: "मैं सक्षम हूँ, मैं यह कर सकती हूँ।",5,हिन्दी
72,intimidated,कौशल अभ्यास,डर पैदा करने वाले कौशल का छोटे-छोटे हिस्सों में अभ्यास करें।,15,हिन्दी
73,sunny,धूप का आनंद लें,कुछ देर धूप में बैठें या खिड़की के पास जाएँ।,10,हिन्दी
74,energetic,एक्सरसाइज करें,तेज़ चलें, दौड़ें या वर्कआउट करें।,20,हिन्दी
75,breezy,माइंडफुल ब्रीदिंग,खिड़की खोलें और ताज़ी हवा में गहरी सांस लें।,5,हिन्दी
76,bright,रचनात्मक अभिव्यक्ति,कला या लेखन के ज़रिए अपनी चमक को व्यक्त करें।,15,हिन्दी
77,terrified,ग्राउंडिंग अभ्यास,पाँच चीजें देखें और नाम लें; खुद को सुरक्षित महसूस कराएँ।,5,हिन्दी
78,exhausted,आराम करें,लेट जाएँ और आँखें बंद कर लें।,15,हिन्दी
79,burnt-out,टेक्नोलॉजी ब्रेक,स्क्रीन से दूर रहें और आरामदायक गतिविधि करें।,20,हिन्दी
80,fatigued,हाइड्रेशन व विश्राम,पानी पिएँ और थोड़ी देर आराम करें।,10,हिन्दी
81,animated,अभिव्यक्तिवादी गति,डांस या स्ट्रेचिंग से ऊर्जा को व्यक्त करें।,10,हिन्दी
82,alienated,ऑनलाइन कनेक्शन,ऑनलाइन समुदाय या फोरम से जुड़ें।,20,हिन्दी
83,isolated,पेट थेरेपी,पेट के साथ समय बिताएँ या जानवरों के वीडियो देखें।,15,हिन्दी
84,zestful,नई चुनौती,कोई नया काम या गतिविधि आजमाएँ।,20,हिन्दी
85,afraid,सुरक्षा सूची,तीन चीजें लिखें जो आपको सुरक्षित महसूस कराती हैं।,10,हिन्दी
86,rejuvenated,खुद को पुरस्कृत करें,अपनी नई ऊर्जा का जश्न मनाएँ।,15,हिन्दी
87,disheartened,प्रोत्साहन नोट,खुद या किसी प्रियजन के लिए प्रोत्साहन लिखें।,10,हिन्दी
88,mellow,शांत रिचुअल,शांत संगीत सुनें और आराम करें।,15,हिन्दी
89,placid,माइंडफुल ऑब्जर्वेशन,शांति से बैठें और विचारों का निरीक्षण करें।,10,हिन्दी
90,pensive,शांत चिंतन,एकांत में बैठकर विचार करें।,15,हिन्दी
91,weary,जल्दी सो जाएँ,जल्दी सो जाएँ या झपकी लें।,30,हिन्दी
92,disturbed,सहायता कॉल,विश्वसनीय व्यक्ति को कॉल या संदेश करें।,15,हिन्दी
93,agitated,शांत श्वास,धीमी, गहरी सांस लें जब तक बेचैनी कम न हो जाए।,5,हिन्दी
94,content,माइंडफुल भोजन,भोजन को ध्यानपूर्वक खाएँ और हर निवाले का स्वाद लें।,20,हिन्दी
95,wistful,सपनों की डायरी,भविष्य के सपनों को लिखें।,10,हिन्दी
96,burdened,काम सौंपें,मदद माँगें या कोई काम किसी और को दें।,15,हिन्दी
97,grieving,शोक रिचुअल,मोमबत्ती जलाएँ और अपनी भावनाओं को सम्मान दें।,15,हिन्दी
98,dismayed,आशा खोजें,दो चीजें लिखें जो आपको आशा देती हैं।,10,हिन्दी
99,troubled,समस्या समाधान,परेशानी को छोटे हिस्सों में बाँटें और समाधान सोचें।,20,हिन्दी
100,disconcerted,सुरक्षा मंत्र,मंत्र दोहराएँ: "मैं सुरक्षित हूँ और बदलाव संभाल सकती हूँ।",5,हिन्दी
101,panicked,आपातकालीन साँस,हाथ दिल पर रखें और धीरे-धीरे सांस लें जब तक घबराहट कम न हो।,10,हिन्दी
102,soothed,अरोमाथेरेपी,लैवेंडर या कैमोमाइल की खुशबू लें; शांति मिलेगी।,5,हिन्दी
103,serene,आभार ध्यान,ध्यान में कुछ चीजें सोचें जिनके लिए आभारी हैं।,10,हिन्दी
104,joyful,खुशी साझा करें,किसी को संदेश या कॉल कर अपनी खुशी साझा करें।,5,हिन्दी
105,melancholy,कोमल पढ़ाई,कोई सुकून देने वाली किताब या कविता पढ़ें।,15,हिन्दी
