id,category,title,content,duration_min,language
46,defensive,Pause Response,When you feel defensive, pause before responding. Take three deep breaths.,2,English
47,nostalgic,Photo Time,Look at old photos and allow yourself to reminisce, then gently return to the present.,10,English
48,perky,Dance Break,Put on upbeat music and dance for a few minutes.,5,English
49,playful,Creative Play,Draw, doodle, or play a simple game to nurture your playful side.,10,English
50,light-hearted,Laughter Therapy,Watch a funny video or recall a humorous memory.,10,English
51,fun,Try Something New,Experiment with a new hobby or activity just for fun.,20,English
52,cheerful,Share Joy,Send a cheerful message or meme to someone you care about.,5,English
53,passionate,Project Focus,Spend time on a project you’re passionate about, even if just a few minutes.,15,English
54,peaceful,Guided Meditation,Listen to a short guided meditation for peace and relaxation.,10,English
55,reflective,Journal Reflection,Write about a recent experience and what you learned from it.,15,English
56,shy,Small Social Step,Challenge yourself to speak with someone new, even briefly.,5,English
57,sentimental,Memory Sharing,Share a favorite memory with a friend or family member.,10,English
58,strange,Self-Discovery,Write down what feels strange and why; explore without judgment.,10,English
59,weird,Celebrate Uniqueness,List three things that make you special and celebrate them.,5,English
60,unknown,Body Awareness,Do a quick body scan to check in with yourself and notice your mood.,5,English
61,unaffected,Nature Walk,Take a walk outdoors and notice details in your environment.,15,English
62,vivacious,Group Activity,Join a group activity or class to channel your energy.,30,English
63,regretful,Forgiveness Exercise,Write down what you regret and say out loud, “I forgive myself.”,10,English
64,guilty,Apology Letter,Write a letter of apology, whether you send it or not. Reflect on your growth.,10,English
65,scared,Comforting Routine,Do something familiar and comforting, such as reading a favorite book.,15,English
66,sorrowful,Gentle Movement,Do gentle yoga or stretching to process sorrow physically and emotionally.,15,English
67,laid-back,Leisure Time,Enjoy a leisure activity without any pressure or expectations.,30,English
68,unmotivated,Small Win List,List one small thing you accomplished today, no matter how minor.,5,English
69,motivated,Vision Planning,Set a new goal and map out steps to achieve it.,20,English
70,horrified,Safe Space,Go to a safe, comforting space and focus on deep, slow breaths.,15,English
71,daunted,Affirmation Practice,Repeat affirmations: “I am capable. I can handle this.”,5,English
72,intimidated,Skill Building,Practice a skill related to what intimidates you in small, manageable steps.,15,English
73,sunny,Sunshine Break,Spend time in sunlight, even if just sitting by a window.,10,English
74,energetic,Active Exercise,Go for a brisk walk, run, or do a short workout.,20,English
75,breezy,Mindful Breathing,Open a window and take several deep breaths, feeling the breeze.,5,English
76,bright,Creative Expression,Express yourself through art or writing about what makes you feel bright.,15,English
77,terrified,Grounding Exercise,Look around and name five things you see. Remind yourself you are safe.,5,English
78,exhausted,Rest Break,Lie down and close your eyes for a short, restorative break.,15,English
79,burnt-out,Technology Detox,Take a break from screens and rest with a calming activity.,20,English
80,fatigued,Hydration and Rest,Drink water and rest for a few minutes.,10,English
81,animated,Expressive Movement,Move your body expressively to channel your energy, such as dancing or stretching.,10,English
82,alienated,Online Connection,Join an online community or forum to connect with others.,20,English
83,isolated,Pet Therapy,Spend time with a pet or watch videos of animals for comfort.,15,English
84,zestful,Challenge Yourself,Try a new challenge or activity to use your zest for life.,20,English
85,afraid,Affirmation Writing,Write down three things that make you feel safe and keep the list nearby.,10,English
86,rejuvenated,Self-Celebration,Celebrate your rejuvenation by treating yourself to something you love.,15,English
87,disheartened,Encouragement Notes,Write a note of encouragement to yourself or others.,10,English
88,mellow,Relaxation Ritual,Listen to calming music and let yourself unwind.,15,English
89,placid,Mindful Observation,Sit quietly and observe your thoughts without judgment.,10,English
90,pensive,Quiet Reflection,Spend time alone in quiet, reflecting on your thoughts and feelings.,15,English
91,weary,Early Bedtime,Go to bed early or take a nap to restore your energy.,30,English
92,disturbed,Support Call,Call or text a trusted person to share your feelings and seek support.,15,English
93,agitated,Calm Breathing,Practice slow, deep breathing until agitation lessens.,5,English
94,content,Mindful Eating,Prepare and eat a meal mindfully, savoring each bite.,20,English
95,wistful,Dream Journal,Write down your hopes and dreams for the future.,10,English
96,burdened,Delegate Task,Ask for help or delegate a task to lighten your load.,15,English
97,grieving,Grief Ritual,Light a candle and spend a few minutes honoring your feelings and memories.,15,English
98,dismayed,Hope Search,Write down two things that give you hope, however small.,10,English
99,troubled,Problem Solving,Break down your troubles and brainstorm possible solutions.,20,English
100,disconcerted,Reality Affirmation,Repeat: “I am safe and capable of handling change.”,5,English
101,panicked,Emergency Breathing,Place your hand on your heart and take slow, deep breaths until panic subsides.,10,English
102,soothed,Aromatherapy,Use a calming scent like lavender or chamomile to help soothe yourself.,5,English
103,serene,Gratitude Meditation,Reflect on things you’re grateful for in a short meditation.,10,English
104,joyful,Joy Sharing,Share your joy with someone else through a message or call.,5,English
105,melancholy,Gentle Reading,Read a comforting book or poem to ease melancholy feelings.,15,English
